date,user_id,pp_text,tag,like_point
2018-08-26T12:58:41.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,16
2019-04-27T00:48:17.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,32
2017-11-12T06:07:13.000Z,kimyulkim,Helloautumn Goodbye autumn and hello winterautumncoloursmapleturnredredBugakKRSeoulfalldaily,#autumnGoodbye #maple #turnredred #Bugak #KR #Seoul #fall #daily,31
2019-03-04T08:51:43.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,37
2019-10-31T04:37:49.000Z,ryn_waitt,I tried three of them hanbugak snacks the seaweedthe pumpkinand the pepperThey are sooo goodfoodkoreanfoodVegetariankoreansnackbugakHanBuGakPumpkinHotPepperLaverhealthysnackvegan08liter08L,#food #koreanfood #Vegetarian #koreansnack #bugak #HanBuGak #Pumpkin #HotPepper #Laver #healthysnack #vegan #08liter #08L,22
2019-10-31T04:37:49.000Z,svenjaymusic,Strange vegan dragons,,1
2018-10-09T07:04:09.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,51
2018-10-09T07:04:09.000Z,mirelly.albuquerquee,boso1219 WWWUPARSEGUIDORESCOM,,1
2016-09-07T10:26:23.000Z,petruskoreana,Repostseoul insiders guide withrepostapp Palgakjeoung located in Mountain Bugak overlooking whole Seoul cityIt has awesome sceneryespecially at nightbugakbugaksanpalgakjeong octagonalpavilion hikingseoulSIGcoreevoyagetravelvoyage travelgram,#Repost #bugaksan #palgakjeongoctagonal #pavilion #hiking #seoul #SIG #coreevoyage #travel #voyage #travelgram,97
2016-09-07T10:26:23.000Z,foucher.demilly,Magnificent,,0
2016-09-07T10:26:23.000Z,dont0cry,Superb,,0
2019-02-20T14:03:39.000Z,namkung_leo,Kimbugak scampi oystercream Tmtbugakkoreanpuffednorisnacktomatoes,#bugak #koreanpuffednori #snack #tomatoes,26
2019-06-20T01:47:09.000Z,m2_malamute,costcosneckbugak,#costco #sneck #bugak,11
2018-10-28T02:51:50.000Z,ssonnabee,cycle cycling cyclist cyclepic cyclecouple cyclingcouple bugakskyway bugaksanmountain bugak bugakpalgakjeong,#cyclecyclingcyclistcyclepiccyclecouplecyclingcouplebugakskywaybugaksanmountainbugakbugakpalgakjeong,31
2016-09-11T10:30:46.000Z,noelpalomo,Itoyung pinasok namin kaninang tanghali sa masukal na kagubatan na paliguan ang Shyren Bugak Spring PoolMaraming swimming pool at sa bukal galing ang tubigpara doon kumain at mag imbita para sa mamayang rakrakan sa LSV HotelPapiktyur na rin sa amin ang mga naliligo at dahil may live band doon nahiritan na rin kaming tumugtog at maki jam ng dalawang kantaSiakolan naSiakolGabayLakasTamaBansalanDavaoDelSurBugakBukalShyrenBugakSpringPoolMindanaoTour2016Haymabu,#Gabay #LakasTama #Bansalan #DavaoDelSur #Bugak #Bukal #ShyrenBugakSpringPool #MindanaoTour2016 #Haymabu,18
2018-04-14T11:45:05.000Z,jeaniangjean,BugakDavsurBansalan020218,#Bugak #Davsur #Bansalan #020218,8
2020-06-09T03:40:23.000Z,leesh527,southkoreakoreaseoulNseoultowerBugak skyway cycleroadbikecyclingliferoadcyclephoto byveca0814,#southkorea #korea #seoul #Nseoultower #Bugakskywaycycle #roadbike #cyclinglife #roadcycle #photo,118
2020-06-09T03:40:23.000Z,killer6144,DGG,,1
2018-09-22T08:13:05.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,36
2016-11-22T09:05:23.000Z,stockholmandtheworld,Gyeongbokgung Palacehome of Kings of the Joseon dynastyBuilt in 1395 koreatravelkoreagyeongbokgungseoulhangukmountbugakbugak,#korea #travelkorea #gyeongbokgung #seoul #hanguk #mountbugak #bugak,5
2020-02-13T10:55:11.000Z,jinsim_lsa,themoonmoonmoonlightfullmoonbugakbugaksanbugakskywaybugakskywayoctagonalpavilionbugakoctagonaloctagonalpavilionsunriseseoulseoulkoreasouthkoreabugakmountain,#moon #moonlight #fullmoon #bugak #bugaksan #bugakskyway #bugakskywayoctagonalpavilion #bugakoctagonal #octagonalpavilion #sunrise #seoul #seoulkorea #southkorea #bugakmountain,9
2018-07-25T03:04:21.000Z,bboo_rami,0724 tuesdaydailyridingninghtridingbugakcyclecyclingroadcyclinglifecyclinggirlcyclingshotsexercisehobby,#tuesday #daily #riding #ninghtriding #bugak #cycle #cycling #road #cyclinglife #cyclinggirl #cyclingshots #exercise #hobby,144
2018-07-25T03:04:21.000Z,velovous,Nice pic,,0
2015-05-14T13:09:15.000Z,ceritabireuen,Bireuen selalu di hati DSemoga suatu saat bisa terpajang di kota Bireuenbukan hanya ilusi ilovebireuenbireuenbireuenkitaremajabireuenpemudabireuenkotajuangsamalangajulipeulimbangjeunibpandrahjeumpamatangglumpangduageurugokkutablangpeusanganjangkabugakgeudongaluegeulanggangkualarajaujongblangcurehpuloaradkkdllRegram byandre kurniawan23,#bireuen #bireuenkita #remajabireuen #pemudabireuen #kotajuang #samalanga #juli #peulimbang #jeunib #pandrah #jeumpa #matangglumpangdua #geurugok #kutablang #peusangan #jangka #bugak #geudongalue #geulanggang #kualaraja #ujongblang #cureh #puloara #dkk #dllRegram,60
