,date,user_id,text,like,tag,pp_text,like_point
0,2019-09-02T10:31:34.000Z,bruce.wane_,I think bugak skyway is one of the best places to enjoy seoul view#bugak#bugakskywaypalgakjeong#skybridge#bugaksky#bugakskyway#bugaksanro#fallsky#seoulview,49주,,I think bugak skyway is one of the best places to enjoy seoul view bugak bugakskywaypalgakjeong skybridge bugaksky bugakskyway bugaksanro fallsky seoulview,0
1,2018-01-04T05:07:05.000Z,rayvillarias,"The most successful man is not the one with most money, but the one who is happy.#underwater#gopro#bluelagoon#bugak#dive #hero5 #water #photography #selfie #underwaterselfie",135주,#hero5 #water #photography #selfie #underwaterselfie,The most successful man is not the one with most moneybut the one who is happyunderwater gopro bluelagoon bugak divehero5waterphotographyselfieunderwaterselfie,0
2,2018-08-28T10:13:34.000Z,nalzomboso3579,작년가을은 찬란했다#seaweed & vegetable chips#Korean crisps#김부각#kimbugak#seaweed snack#Bugak 20가지#오희숙전통부각#식품명인25호 부각명인www.ohs.co.kr,102주,,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,0
3,2018-06-08T00:02:05.000Z,happyfamilymkt,"Heageen Kim studied as an artist in Seoul before finding her place in the kitchen — first at @purpleyamnyc and now at her own restaurant @dotorybk, a mighty little place that serves up food true to her South Korean roots with added flare. Haegeen just joined our F&B lineup and we’re thrilled to have her be a part of our happy family 💞...📷: @nytimes @edlefkowicz_",113주,,Heageen Kim studied as an artist in Seoul before finding her place in the kitchen first atpurpleyamnyc and now at her own restaurantdotorybka mighty little place that serves up food true to her South Korean roots with added flareHaegeen just joined our F B lineup and we re thrilled to have her be a part of our happy family nytimesedlefkowicz,0
4,2018-06-08T00:02:05.000Z,happyfamilymkt,.....#happyfamilynightmarket #happyfamilymkt #HFNM2018 #asiannightmarket #asianamerican #asiandiaspora #baesian #slaysian #fareastasia #reorient #azn #dotory #dotorybk #bugak #eastwilliamsburg #williamsburgeats #koreanamerican #koreanfood #bibimbap,113주답글 달기,#happyfamilymkt #HFNM2018 #asiannightmarket #asianamerican #asiandiaspora #baesian #slaysian #fareastasia #reorient #azn #dotory #dotorybk #bugak #eastwilliamsburg #williamsburgeats #koreanamerican #koreanfood #bibimbap,happyfamilynightmarkethappyfamilymktHFNM2018asiannightmarketasianamericanasiandiasporabaesianslaysianfareastasiareorientazndotorydotorybkbugakeastwilliamsburgwilliamsburgeatskoreanamericankoreanfoodbibimbap,0
5,2018-06-08T00:02:05.000Z,edlefkowicz_,"I remember the shoot for the Times very well! And I went back for dinner with my  wife—great food, great hospitality!",113주답글 달기,,I remember the shoot for the Times very wellAnd I went back for dinner with mywife great foodgreat hospitality,0
6,2019-11-01T21:30:15.000Z,jenni.bear.beauty,"I honestly didn’t know what to expect with these snacks... since mostly ‘bugak’ are eaten as either side dish banchans or just as snack. They’re normally coated with sticky sweet rice so it’s a balance of sweet and salty. The pumpkin bugak was pretty good. Not too sticky on the teeth. Super crispy and crunchy. You could definitely taste the pumpkin. The laver bugak was pretty sweet and salty. Super sticky on the teeth. Nonetheless, I liked it a lot. The hot chili bugak was a little too spicy for me but my mom seemingly enjoyed it!#Koreanfood #vegetarian #koreansnack #bugak #HanBuGak #Pumkin #HotPepper #Laver #healthysnack #vegan #08liter #08L",40주,#vegetarian #koreansnack #bugak #HanBuGak #Pumkin #HotPepper #Laver #healthysnack #vegan #08liter #08L,I honestly didn t know what to expect with these snackssince mostlybugakare eaten as either side dish banchans or just as snackThey re normally coated with sticky sweet rice so it s a balance of sweet and saltyThe pumpkin bugak was pretty goodNot too sticky on the teethSuper crispy and crunchyYou could definitely taste the pumpkinThe laver bugak was pretty sweet and saltySuper sticky on the teethNonethelessI liked it a lotThe hot chili bugak was a little too spicy for me but my mom seemingly enjoyed itKoreanfoodvegetariankoreansnackbugakHanBuGakPumkinHotPepperLaverhealthysnackvegan08liter08L,0
7,2016-07-21T07:03:48.000Z,j_x_8,_Ride Seoul#Seoul #korea #Bugak #riding #cycle #자전거 #라이딩 #북악,211주,#korea #Bugak #riding #cycle #자전거 #라이딩 #북악,Ride Seoul SeoulkoreaBugakridingcycle,0
8,2018-09-12T09:22:46.000Z,nalzomboso3579,#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,100주,#seaweed #오희숙전통부각#식품명인25호,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,0
9,2018-10-09T08:10:39.000Z,allen_cdirector,Namsan Mt. - Bugak Mt.📸 @pj_pdw.#namsan#bugak#fromwhereiride#cycling#cyclinglife#bikelife#outsideisfree#roadbike#roadcycling#cyclingkit#instabike#specialized#sworks#sl6#rapha#kask#cafeducycliste #자덕#라이딩,96주,#자덕#라이딩,Namsan MtBugak Mtpj pdwnamsan bugak fromwhereiride cycling cyclinglife bikelife outsideisfree roadbike roadcycling cyclingkit instabike specialized sworks sl6 rapha kask cafeducycliste,0
