,date,user_id,text,like,tag,pp_text,like_point
0,2019-06-12T05:30:51.000Z,yumiozca,"I made kelp chips.with sesame oil, sugar and curry leaves. sea weeds contains high magnesium which helps reducing fat around your belly, retain moisture in your skin. 拾ってきた海藻でチップを作りました。ごま油とカレーリーフと砂糖をまぶしてフライパンで煎っただけ。ふりかけにしても美味しそう！#sydney #seaweed #kelp #chips #seaweedchips #homemadechips #oceanfood #seafood #海藻 #シドニー#オーストラリア#海藻チップス",61주,#seaweed #kelp #chips #seaweedchips #homemadechips #oceanfood #seafood #海藻 #シドニー#オーストラリア#海藻チップス,I made kelp chips with sesame oilsugar and curry leavessea weeds contains high magnesium which helps reducing fat around your bellyretain moisture in your skin sydneyseaweedkelpchipsseaweedchipshomemadechipsoceanfoodseafood,0
1,2016-08-17T19:51:14.000Z,chennocar,Fish & Chips!!! #hookcamden #englishfoodie #camden #fishandchips #ellenlikestoeat #seaweedchips #squidink #kingprawns #trufflemayo,208주,#hookcamden #englishfoodie #camden #fishandchips #ellenlikestoeat #seaweedchips #squidink #kingprawns #trufflemayo,Fish Chips hookcamdenenglishfoodiecamdenfishandchipsellenlikestoeatseaweedchipssquidinkkingprawnstrufflemayo,0
2,2018-01-21T23:04:35.000Z,lindadesoto520,My favorite #taokaenoi now in rolls 💖 #seaweedchips #bigroll #productofthailand #spicy #thailand #seaweed #imlovingit #food #taokaenoi #loveatfirstsight,133주,#taokaenoi #seaweedchips #bigroll #productofthailand #spicy #thailand #seaweed #imlovingit #food #taokaenoi #loveatfirstsight,My favoritetaokaenoi now in rollsseaweedchipsbigrollproductofthailandspicythailandseaweedimlovingitfoodtaokaenoiloveatfirstsight,0
3,2018-01-21T23:04:35.000Z,scottkato,👌,131주답글 달기,,,0
4,2018-01-21T23:04:35.000Z,saintgeorgebulkfood,😊👏👏👏👏.,130주답글 달기,,,0
5,2017-01-27T09:37:24.000Z,balts.lv,Papildinām palauktus! Garšīgākie jūras zāļu čipsi un Pocky salmiņi! 👌🏼🤗...#sweets #balts #balts_lv #riga #bistro #latvia #juraszalucipsi #seaweed #seaweedchips #pocky #saldumi #naski #art #interior #food #snack #tasty #garsigi #salmini #čipsi #kurpaestriga,184주,#balts #balts_lv #riga #bistro #latvia #juraszalucipsi #seaweed #seaweedchips #pocky #saldumi #naski #art #interior #food #snack #tasty #garsigi #salmini #čipsi #kurpaestriga,Papildin m palauktusGarg kie j ras zuipsi un Pocky salmi i sweetsbaltsbalts lvrigabistrolatviajuraszalucipsiseaweedseaweedchipspockysalduminaskiartinteriorfoodsnacktastygarsigisalmini ipsikurpaestriga,0
6,2017-01-27T09:37:24.000Z,alirud_,@balts.lv Labdien! Līdz cikiem jūs strādājiet šodien?,184주답글 달기,,balts lv LabdienL dz cikiem j s str d jietodien,0
7,2017-01-27T09:37:24.000Z,balts.lv,"@alirud_ strādājam katru darba dienu no plkst. 10:00-20:00, sestdienās no plkst. 11:00-19:00, svētdiena - brīvdiena",184주답글 달기,,alirudstr d jam katru darba dienu no plkst10 00 20 00sestdien s no plkst11 00 19 00sv tdiena br vdiena,0
8,2017-01-27T09:37:24.000Z,rusinja,"Yeiii! Jāiet ciemos! Vienīgais veids,kā patērējam jūraszāli,ir atpakaļ plauktos!:)",184주좋아요 1개답글 달기,,YeiiiJ iet ciemosVien gais veids kpat r jam j rasz li ir atpakaplauktos, 1
9,2017-03-10T08:04:06.000Z,_justjoey__,Mmmm Friday snacks!! 😝😍**#seaweed #seaweedchips #glutenfree #dairyfree #sugarfree #nutrition #health #sustainable #seashanti #addictive,178주,#seaweedchips #glutenfree #dairyfree #sugarfree #nutrition #health #sustainable #seashanti #addictive,Mmmm Friday snacksseaweedseaweedchipsglutenfreedairyfreesugarfreenutritionhealthsustainableseashantiaddictive,0
10,2018-03-11T22:24:59.000Z,fasting_oasis,Deloris is at it again. Why would she eat this?? #seaweedchips #food #funny #umno,126주,#seaweedchips #food #funny #umno,Deloris is at it againWhy would she eat thisseaweedchipsfoodfunnyumno,0
11,2018-02-24T23:57:23.000Z,nicholevillafane_atl_realtor,I didn’t want to ruin my appetite before the vegetarian meal I was craving so I found this!!! Omg so delish!!! #seaweedchips #vegeterian #vegan #spicy #love #healthy #concious #life,128주,#seaweedchips #vegeterian #vegan #spicy #love #healthy #concious #life,I didn t want to ruin my appetite before the vegetarian meal I was craving so I found thisOmg so delish seaweedchipsvegeterianveganspicylovehealthyconciouslife,0
12,2018-02-24T23:57:23.000Z,ebjustwingingit,I'm doing vegetarian too!!! My 4th day!! See my IG videos,128주답글 달기,,I m doing vegetarian tooMy 4th day See my IG videos,0
13,2020-08-07T13:52:18.000Z,bahrainchitchat,"Crunchy seaweed chips finally stockedat @alosrasupermarket Saar, Janabiyah and Amwaj ✨ and located in the chips section. So happy & excited for everyone to try the new flavour too  @seoulfood.bh 💛#Repost #bahrainchitchat #seaweed #seaweedsalad #seaweedchips #bahraintoday #bahrain #bahrainblogs #Adliya #seef #Block338 #koreanfood #organic",5일,#bahrainchitchat #seaweed #seaweedsalad #seaweedchips #bahraintoday #bahrain #bahrainblogs #Adliya #seef #Block338 #koreanfood #organic,Crunchy seaweed chips finally stockedatalosrasupermarket SaarJanabiyah and Amwaj and located in the chips sectionSo happy excited for everyone to try the new flavour too seoulfood bh RepostbahrainchitchatseaweedseaweedsaladseaweedchipsbahraintodaybahrainbahrainblogsAdliyaseefBlock338koreanfoodorganic,0
14,2020-08-07T13:52:18.000Z,seoulfood.bh,Thank you ❤️🤗,5일답글 달기,,Thank you,0
