date,user_id,pp_text,tag,like_point
2019-07-25T18:21:59.000Z,joyfulchallenge,I may or may not have horrendous breath later but at least I m snacking healthy seasnaxseaweedchipshealthyfunyunsfireshotbreathoffiregeneshealthfood,#seasnax #seaweedchips #healthyfunyuns #fireshot #breathoffire #geneshealthfood,4
2019-07-25T18:21:59.000Z,koreanseaweed,Love your photoBtwif you re looking for a tasty addition to your everyday meal look no furtherIntroducing korean seaweed the new superfood,,1
2020-05-26T04:12:12.000Z,bitemebite2020,WHATMASIH PROMOSICEPATCEPATCEPATORDER SEKARANG Wasap no agent kami di bawah untuk keterangan lanjutwasap my 60169081202 bitemewasap my 601121472559 dauzwasap my 60198820019 suema seaweedchipsseaweedfoodseaweedsnacksseaweedlover,#seaweedfood #seaweedsnacks #seaweedlover,31
2020-05-26T04:12:12.000Z,hindonsaid,Pm balang kuih,,0
2018-02-24T10:53:59.000Z,maria_wildflower,bibigo seaweedsnackseaweedchips koreansnackcheiljedang,#bibigo #seaweedsnack #seaweedchips #koreansnack #cheiljedang,8
2014-05-18T17:27:01.000Z,oceanshalo,Ourseaweedchips are a hitmontereybayaquariumcfsmba,#seaweedchips #cfsmba,15
2019-07-10T23:17:54.000Z,jessethemess,Ducks duckslaketravismysecretspotlakedayilovewaterseaweedchipshappyday,#ducks #laketravis #mysecretspot #lakeday #ilovewater #seaweedchips #happyday,14
2019-07-10T23:17:54.000Z,chillic77,fuckinducks,#fuckinducks,1
2012-08-09T19:58:58.000Z,ilsamichelle,Can you spot thehomemadeseaweedchipswhatveganseat for lunch,#homemade #seaweedchips #whatveganseat,0
2020-01-09T16:40:57.000Z,youree_yu,My favorite korean snack seaweedchips bugak,#seaweedchipsbugak,9
2020-01-09T16:40:57.000Z,loverachel7,costco,,0
2020-07-17T16:32:47.000Z,seasnax,Raise your hand if you crave the crunch ifyouknowyouknow Chomperz make for an excellent croutonBig bold crunch Big bold flavor anallergiclife,#ifyouknowyouknow,63
2020-07-17T16:32:47.000Z,seasnax,chomperzricericesnacksveganplantbasedseaweedchipsplantpoweredpoweredbyplantsnorigimkoreansnacksfoodieseaweedseaweedsnackstastynomnomnomchipscleaneatingrealingredientssoyfreebewelleatwellsnackwellwellnesswednesdaynongmostickyrice,#chomperz #rice #ricesnacks #vegan #plantbased #seaweedchips #plantpowered #poweredbyplants #nori #gim #koreansnacks #foodie #seaweed #seaweedsnacks #tasty #nomnomnom #chips #cleaneating #realingredients #soyfree #bewell #eatwell #snackwell #wellnesswednesday #nongmo #stickyrice,0
2020-07-17T16:32:47.000Z,niarammal,Amazzzzing and so uniqueI love your BBQ flavor,,1
2020-07-17T16:32:47.000Z,majesticgarlic,Yum yum yum,,0
2020-07-17T16:32:47.000Z,cassiegreenhealth,Beautiful saladAnd yes to the chompers crouton idea,,1
2018-06-10T04:38:54.000Z,cheatmealsmy,TEMPAHAN RAYA MASIH DIBUKAStokbergerak pantas bila dah hujung2 Ramadan niSiapa cepat dia punya yeSementara stok masih adaApe2 punwhatsapp dlu ye kalau masih berminatTekan2 terus 0193000156 makan lunchdeliverykl lunchboxkl danaukota setapak wangsamaju melawati gombak srirampai wangsamelawati wangsamaju kerepekseaweed crunchyseaweed seaweedchips kerepekcrabstick sedekahramadan2018 sedekahjumaat sedekahramadan crunchycrab crunchycrabstick,,6
2017-03-03T02:40:23.000Z,bazaaria.shop,Siapa suka seaweed atuthen grab these munchiesSeaweedChipsPopiaSeaweedGulung Available inside cube J4 Azisha Cube atPitstopKB,#PopiaSeaweedGulung #PitstopKB,0
2018-05-31T09:56:06.000Z,cheatmealsmy,SETTLE DELIVERY8 BALANG CRUNCHY CRABSTICK SEAWEEDYg dah order utk esk harap bersabar yeWhatsapp 0193000156 utk tempahan RAYAmakan lunchdeliverykl lunchboxkl danaukota setapak wangsamaju melawati gombak srirampai wangsamelawati wangsamaju kerepekseaweed crunchyseaweed seaweedchips kerepekcrabstick sedekahramadan2018 sedekahjumaat sedekahramadan crunchycrab crunchycrabstick,,10
2020-07-14T12:30:51.000Z,joshealthycupboard,PLANT BASED STORE CUPBOARD SNACKSADgifted productSHORE SEAWEED is a Scottish company based in the North of Scotlandsourcing sustainable seaweed from the shores of Wickto make their crispsclusters and pestoI have been eating their seaweed puffs for over a year now and loved them as an office snackwhen I used to be at my desk two days a weekI was delighted to be sent some of their new range to try and look forward to sharing more of their products You can check ourshoreseaweed and purchase their products via AmazonDo you like seaweed or eat it regularly,,0
2020-07-14T12:30:51.000Z,joshealthycupboard,scottishbloggersscottishfoodbloggersinstafoodveganrecipesdiscoverunder5kplantbasedfoodplantbasedlivingplantbasedrunnershoreseaweedseaweedsnacksseaweedchipsauthenticitymaternalmentalhealthfoodpictureveganrecipehomemadeplantbasedrecipezerowastescotlandeatmorevegscottishvegansvegansofigvegetarianrecipefoodwriterrecipecreatorsimpleswapssustainablescotlandplantbasedrunnerscottishseaweedinstarunnerplantbasedjourney,#scottishbloggers #scottishfoodbloggers #instafood #veganrecipes #discoverunder5k #plantbasedfood #plantbasedliving #plantbasedrunner #shoreseaweed #seaweedsnacks #seaweedchips #authenticity #maternalmentalhealth #foodpicture #veganrecipe #homemade #plantbasedrecipe #zerowastescotland #eatmoreveg #scottishvegans #vegansofig #vegetarianrecipe #foodwriter #recipecreator #simpleswaps #sustainablescotland #plantbasedrunner #scottishseaweed #instarunner #plantbasedjourney,0
2020-07-14T12:30:51.000Z,tashadcruz,They sound greatlove a seaweed snack,,0
2018-04-20T05:20:12.000Z,iamtashwiba,One of my more creative made up recipesI call themcaliforniabeachboats since they re like acaliforniaroll withseaweedsalad on a lettuce boat cucumberseaweedseaweedchipsnorisrirachakrabstickavocadovegetarianpescatarianglutenfreeiaddedmoresaucekrab,#californiabeachboats #californiaroll #seaweedsalad #seaweed #seaweedchips #nori #sriracha #krabstick #avocado #vegetarian #pescatarian #glutenfree #iaddedmoresauce #krab,25
2020-06-29T03:33:52.000Z,ann_normie,seaweedchips Nak belajar tp ngantuk No worries Kerepek seaweed ni ada original cheese hot spicyKudap2 sambil study Baik petangWalau tgh malamSesedap rasa,#seaweedchips,0
2020-02-25T08:15:42.000Z,sjyseaweed,Almost at the end of FebruaryDreaming of spring and a bag of SJY snack in our handSpring and SJY snack available soon,,48
